-5.744140625,-7.61100655322676
-5.736328125,-7.669772133911352
-5.728515625,-7.728537713969461
-5.720703125,-7.772640537249368
-5.7109375,-7.816771999505071
-5.69921875,-7.860932099596817
-5.6875,-7.905092198396215
-5.677734375,-7.934560903880448
-5.66796875,-8.008017876964706
-5.662109375,-8.052092062403121
-5.65625,-8.096166246934331
-5.6484375,-8.140269069933822
-5.640625,-8.184371893743652
-5.6328125,-8.228474716130556
-5.626953125,-8.272548900877878
-5.62109375,-8.331285844847867
-5.615234375,-8.375360029192844
-5.609375,-8.434096968669905
-5.603515625,-8.492833909391369
-5.59765625,-8.536908088668074
-5.591796875,-8.595645030255087
-5.5859375,-8.639719213971617
-5.580078125,-8.698456153378077
-5.57421875,-8.742530341537709
-5.568359375,-8.786604519878544
-5.5625,-8.845341473367384
-5.5546875,-8.904107040723677
-5.548828125,-8.948181238329113
-5.54296875,-8.992255411553733
-5.533203125,-9.051049626058141
-5.525390625,-9.095152465288745
-5.515625,-9.15394667257808
-5.505859375,-9.198078111608393
-5.498046875,-9.227518195465255
-5.486328125,-9.257015527047997
-5.4765625,-9.271821463636854
-5.462890625,-9.286684685996942
-5.458984375,-9.28674197565667
-5.453125,-9.316153430500451
-5.443359375,-9.360284861106948
-5.435546875,-9.404387659102346
-5.42578125,-9.448519114130509
-5.416015625,-9.492650569618243
-5.40625,-9.522119322945015
-5.392578125,-9.580970774230359
-5.380859375,-9.625130870131281
-5.365234375,-9.684011077831261
-5.34765625,-9.742919764127542
-5.330078125,-9.801828547034601
-5.31640625,-9.846017305339204
-5.302734375,-9.904868722665999
-5.29296875,-9.934337489244692
-5.27734375,-9.993217566670507
-5.26171875,-10.052097620840271
-5.251953125,-10.125554699646765
-5.2421875,-10.184348776772538
-5.23046875,-10.257834660256865
-5.220703125,-10.316628476860139
-5.2109375,-10.360760067568714
-5.19921875,-10.434245784338877
-5.1875,-10.493068733911064
-5.177734375,-10.537200293476339
-5.16796875,-10.581331022163837
-5.158203125,-10.62546251923629
-5.146484375,-10.684286009700575
-5.13671875,-10.728416636840679
-5.126953125,-10.772549080142658
-5.115234375,-10.831372073863614
-5.1015625,-10.890223516641742
-5.091796875,-10.934354898894103
-5.080078125,-10.993175795764584
-5.068359375,-11.051999509250834
-5.0546875,-11.11085258135621
-5.04296875,-11.169673067355367
-5.03515625,-11.213777226754132
-5.025390625,-11.272571118094916
-5.015625,-11.331366331424523
-5.001953125,-11.404881658623786
-4.9921875,-11.449012493516895
-4.98046875,-11.507835199646355
-4.97265625,-11.53727587993943
-4.962890625,-11.56673741742796
-4.955078125,-11.581521375760204
-4.94921875,-11.581604164224041
-4.939453125,-11.62573127968955
-4.927734375,-11.669899665161756
-4.9140625,-11.699425852282138
-4.90234375,-11.728918727109859
-4.892578125,-11.743723042174553
-4.8828125,-11.743870054510001
-4.865234375,-11.729461482208915
-4.8515625,-11.715002525526774
-4.837890625,-11.68587142407371
-4.826171875,-11.656719878791101
-4.814453125,-11.627568183683813
-4.80078125,-11.583780713645508
-4.79296875,-11.554570135125845
-4.783203125,-11.525386759777295
-4.76953125,-11.569573680055058
-4.755859375,-11.628428071683759
-4.7421875,-11.68727721235956
-4.73046875,-11.731444417530769
-4.71875,-11.775598442523934
-4.705078125,-11.834443764002891
-4.693359375,-11.878605085446884
-4.677734375,-11.952142912251102
-4.66015625,-12.025733236609092
-4.63671875,-12.114044582554165
-4.6328125,-12.202080369402161
-4.62890625,-12.275434528907649
-4.623046875,-12.363525163164503
-4.619140625,-12.436866175357268
-4.61328125,-12.52491822157314
-4.603515625,-12.642412413751225
-4.595703125,-12.730445338019713
-4.587890625,-12.818503672806905
-4.580078125,-12.906536597075394
-4.568359375,-13.024150175424303
-4.55859375,-13.082725068102809
-4.55078125,-13.156284488169026
-4.544921875,-13.200241434479985
-4.53125,-13.259108093700807
-4.515625,-13.318101873837637
-4.50390625,-13.362413012795136
-4.48828125,-13.435418306369344
-4.4765625,-13.479645434725615
-4.4609375,-13.53878204255546
-4.451171875,-13.56809080464035
-4.44140625,-13.597608369197872
-4.431640625,-13.612167089368796
-4.4140625,-13.627230835804673
-4.3984375,-13.627230835804673
-4.388671875,-13.65682925909187
-4.37890625,-13.686245856239939
-4.37109375,-13.730574958818138
-4.361328125,-13.788752145500876
-4.3515625,-13.834015838985154
-4.341796875,-13.862922812595318
-4.330078125,-13.921166014704054
-4.3203125,-13.965585154492466
-4.3125,-14.038135821641077
-4.30859375,-14.097257273759736
-4.3046875,-14.15524922073742
